GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
S-Biomass_IGCC	1	BioSolid	0.0
S-Biomass_IGCC	2	BioSolid	0.0
S-Biomass_IGCC	3	BioSolid	0.0
S-Biomass_IGCC	4	BioSolid	0.0
S-Biomass_IGCC	5	BioSolid	0.0
S-Biomass_IGCC	6	BioSolid	0.0
S-Biomass_IGCC	7	BioSolid	0.0
S-Biomass_IGCC_CCS	1	BioSolid	0.0
S-Biomass_IGCC_CCS	2	BioSolid	0.0
S-Biomass_IGCC_CCS	3	BioSolid	0.0
S-Biomass_IGCC_CCS	4	BioSolid	0.0
S-Biomass_IGCC_CCS	5	BioSolid	0.0
S-Biomass_IGCC_CCS	6	BioSolid	0.0
S-Biomass_IGCC_CCS	7	BioSolid	0.0
